subject,experiment_name,age,condition,trial_type,trial_index,choice_image,choice_audio,target_image,foil_image,test_audio,target_label,is_right,available_image1,available_image2,available_image3,available_image4
p105,1,5.33,active,learning,11,stims/4.png,stims/norm_it_soma.wav,NA,NA,NA,NA,NA,stims/1.png,stims/4.png,stims/3.png,stims/6.png
p105,1,5.33,active,learning,12,stims/3.png,stims/norm_that_finna.wav,NA,NA,NA,NA,NA,stims/1.png,stims/4.png,stims/3.png,stims/6.png
p105,1,5.33,active,learning,13,stims/1.png,stims/norm_it_beppo.wav,NA,NA,NA,NA,NA,stims/1.png,stims/4.png,stims/3.png,stims/6.png
p105,1,5.33,active,learning,14,stims/1.png,stims/norm_it_beppo.wav,NA,NA,NA,NA,NA,stims/1.png,stims/4.png,stims/3.png,stims/6.png
p105,1,5.33,active,test,15,stims/3.png,NA,stims/3.png,stims/1.png,stims/norm_where_finna.wav,finna,1,NA,NA,NA,NA
p105,1,5.33,active,test,16,stims/1.png,NA,stims/1.png,stims/3.png,stims/norm_where_beppo.wav,beppo,1,NA,NA,NA,NA
p105,1,5.33,active,test,17,stims/3.png,NA,stims/1.png,stims/3.png,stims/norm_where_beppo.wav,beppo,0,NA,NA,NA,NA
p105,1,5.33,active,test,18,stims/4.png,NA,stims/4.png,stims/6.png,stims/norm_find_soma.wav,soma,1,NA,NA,NA,NA
p105,1,5.33,active,test,19,stims/3.png,NA,stims/3.png,stims/1.png,stims/norm_where_finna.wav,finna,1,NA,NA,NA,NA
p105,1,5.33,active,test,20,stims/4.png,NA,stims/4.png,stims/6.png,stims/norm_find_soma.wav,soma,1,NA,NA,NA,NA
p105,1,5.33,active,test,21,stims/4.png,NA,stims/6.png,stims/4.png,stims/norm_where_kita.wav,kita,0,NA,NA,NA,NA
p105,1,5.33,active,test,22,stims/6.png,NA,stims/6.png,stims/4.png,stims/norm_where_kita.wav,kita,1,NA,NA,NA,NA
