subject,age_group,experiment_name,sampling_condition,trial_type,label1,label2,image1,image2,image3,image4,image5,image6,image7,image8,choice_image,random_image,random_image1,random_image2,choice_label,random_label,random_label1,random_label2,target_image,target_label,is_right,trial_index
p397175,adults,Crossact_active_passive,passive,test,NA,NA,stims/9.png,stims/7.png,stims/29.png,stims/1.png,stims/6.png,stims/4.png,stims/8.png,stims/12.png,stims/7.png,NA,NA,NA,NA,NA,NA,NA,stims/8.png,deela,0,31
p397175,adults,Crossact_active_passive,passive,test,NA,NA,stims/29.png,stims/1.png,stims/4.png,stims/8.png,stims/9.png,stims/6.png,stims/7.png,stims/12.png,stims/6.png,NA,NA,NA,NA,NA,NA,NA,stims/29.png,sibu,0,32
p397175,adults,Crossact_active_passive,passive,test,NA,NA,stims/12.png,stims/9.png,stims/29.png,stims/8.png,stims/4.png,stims/7.png,stims/6.png,stims/1.png,stims/4.png,NA,NA,NA,NA,NA,NA,NA,stims/4.png,tesser,1,33
p397175,adults,Crossact_active_passive,passive,test,NA,NA,stims/9.png,stims/8.png,stims/1.png,stims/4.png,stims/12.png,stims/29.png,stims/6.png,stims/7.png,stims/1.png,NA,NA,NA,NA,NA,NA,NA,stims/1.png,manu,1,34
p397175,adults,Crossact_active_passive,passive,test,NA,NA,stims/9.png,stims/8.png,stims/4.png,stims/6.png,stims/1.png,stims/12.png,stims/29.png,stims/7.png,stims/6.png,NA,NA,NA,NA,NA,NA,NA,stims/6.png,roozer,1,35
p397175,adults,Crossact_active_passive,passive,test,NA,NA,stims/29.png,stims/8.png,stims/1.png,stims/9.png,stims/4.png,stims/12.png,stims/6.png,stims/7.png,stims/8.png,NA,NA,NA,NA,NA,NA,NA,stims/9.png,finna,0,36
p397175,adults,Crossact_active_passive,passive,test,NA,NA,stims/12.png,stims/6.png,stims/8.png,stims/4.png,stims/9.png,stims/1.png,stims/7.png,stims/29.png,stims/6.png,NA,NA,NA,NA,NA,NA,NA,stims/29.png,sibu,0,37
p397175,adults,Crossact_active_passive,passive,test,NA,NA,stims/12.png,stims/6.png,stims/7.png,stims/1.png,stims/8.png,stims/4.png,stims/29.png,stims/9.png,stims/8.png,NA,NA,NA,NA,NA,NA,NA,stims/9.png,finna,0,38
p397175,adults,Crossact_active_passive,passive,test,NA,NA,stims/4.png,stims/9.png,stims/7.png,stims/1.png,stims/6.png,stims/12.png,stims/29.png,stims/8.png,stims/1.png,NA,NA,NA,NA,NA,NA,NA,stims/1.png,manu,1,39
p397175,adults,Crossact_active_passive,passive,test,NA,NA,stims/12.png,stims/29.png,stims/1.png,stims/8.png,stims/4.png,stims/9.png,stims/6.png,stims/7.png,stims/1.png,NA,NA,NA,NA,NA,NA,NA,stims/6.png,roozer,0,40
p397175,adults,Crossact_active_passive,passive,test,NA,NA,stims/8.png,stims/29.png,stims/7.png,stims/1.png,stims/6.png,stims/12.png,stims/9.png,stims/4.png,stims/4.png,NA,NA,NA,NA,NA,NA,NA,stims/4.png,tesser,1,41
p397175,adults,Crossact_active_passive,passive,test,NA,NA,stims/1.png,stims/12.png,stims/29.png,stims/9.png,stims/4.png,stims/8.png,stims/7.png,stims/6.png,stims/7.png,NA,NA,NA,NA,NA,NA,NA,stims/8.png,deela,0,42
p397175,adults,Crossact_active_passive,passive,test,NA,NA,stims/12.png,stims/29.png,stims/6.png,stims/7.png,stims/9.png,stims/4.png,stims/8.png,stims/1.png,stims/29.png,NA,NA,NA,NA,NA,NA,NA,stims/7.png,guffi,0,43
p397175,adults,Crossact_active_passive,passive,test,NA,NA,stims/9.png,stims/1.png,stims/8.png,stims/6.png,stims/7.png,stims/12.png,stims/4.png,stims/29.png,stims/9.png,NA,NA,NA,NA,NA,NA,NA,stims/12.png,kita,0,44
p738273,adults,Crossact_active_passive,passive,learning,manu,sibu,stims/14.png,stims/12.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
p738273,adults,Crossact_active_passive,passive,learning,pahvy,tibble,stims/1.png,stims/8.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
p738273,adults,Crossact_active_passive,passive,learning,sibu,manu,stims/14.png,stims/12.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
p738273,adults,Crossact_active_passive,passive,learning,beppo,tesser,stims/29.png,stims/9.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
p738273,adults,Crossact_active_passive,passive,learning,noopy,tibble,stims/5.png,stims/8.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
p738273,adults,Crossact_active_passive,passive,learning,kita,tibble,stims/2.png,stims/8.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
p738273,adults,Crossact_active_passive,passive,learning,beppo,tesser,stims/29.png,stims/9.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
p738273,adults,Crossact_active_passive,passive,learning,noopy,pahvy,stims/5.png,stims/1.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
p738273,adults,Crossact_active_passive,passive,learning,noopy,kita,stims/5.png,stims/2.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
p738273,adults,Crossact_active_passive,passive,learning,manu,sibu,stims/14.png,stims/12.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
p738273,adults,Crossact_active_passive,passive,learning,kita,pahvy,stims/2.png,stims/1.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
p738273,adults,Crossact_active_passive,passive,learning,tesser,beppo,stims/29.png,stims/9.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
p738273,adults,Crossact_active_passive,passive,learning,tesser,beppo,stims/29.png,stims/9.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
p738273,adults,Crossact_active_passive,passive,learning,kita,noopy,stims/5.png,stims/2.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
p738273,adults,Crossact_active_passive,passive,learning,noopy,pahvy,stims/5.png,stims/1.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
p738273,adults,Crossact_active_passive,passive,learning,pahvy,kita,stims/2.png,stims/1.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
p738273,adults,Crossact_active_passive,passive,learning,sibu,manu,stims/14.png,stims/12.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17
p738273,adults,Crossact_active_passive,passive,learning,sibu,manu,stims/14.png,stims/12.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
